lat,lon,ta_avg,td_avg,hm_avg,ASR,DSR,RSR,Tnwb,Tg,WBGT
36.043004,128.715622,12.6,6.0,67.0,346.0904,400.6981,187.50388,9.077582316986636,13.000348871946334,10.214377396279911
36.047605,128.715814,12.8,6.2,67.0,346.0904,400.6981,187.50388,9.262027038084167,13.200348871946336,10.403488701048182
36.052206,128.716007,12.4,6.2,69.0,346.0904,400.6981,187.50388,9.097670465505878,12.800348871946335,10.168439100243383
36.056806,128.716199,12.1,6.3,71.0,346.0904,400.6981,187.50388,9.022315943238963,12.500348871946334,10.025690934656541
36.061407,128.716391,12.2,6.3,72.0,346.88644,401.16928,190.5173,9.217900468432866,12.60058422088623,10.192647172080251
36.066008,128.716584,12.2,6.4,72.0,346.88644,401.16928,190.5173,9.217900468432866,12.60058422088623,10.192647172080251
36.070609,128.716776,12.2,6.3,72.0,346.88644,401.16928,190.5173,9.217900468432866,12.60058422088623,10.192647172080251
36.075211,128.716969,12.1,6.3,72.0,346.88644,401.16928,190.5173,9.124139367548644,12.50058422088623,10.097014401461298
36.006043,128.719747,10.3,4.5,71.0,356.9808,412.39236,178.16542,7.339988347545157,10.706148910522462,8.309221625386101
36.010644,128.719939,9.8,4.2,72.0,356.9808,412.39236,178.16542,6.967624520288204,10.206148910522462,7.898566946306236
36.015244,128.720132,10.0,4.3,71.0,356.9808,412.39236,178.16542,7.059599264038708,10.406148910522461,8.022949266931587
36.019844,128.720324,10.6,4.6,70.0,336.02502,390.42694,199.76344,7.523251527204721,10.995184457302093,8.525312960503722
36.024445,128.720517,11.0,4.7,69.0,336.02502,390.42694,199.76344,7.79774601993779,11.395184457302094,8.837459105416873
36.029046,128.720709,11.4,5.0,68.0,346.0904,400.6981,187.50388,8.069949824437812,11.800348871946335,9.149034651495736
36.033646,128.720902,11.7,5.4,68.0,349.20392,404.60568,184.81348,8.347568786161434,12.102296245098113,9.433757399332626
36.038247,128.721095,12.1,5.6,68.0,349.20392,404.60568,184.81348,8.717726849575554,12.502296245098114,9.81286804372251
36.042848,128.721287,12.6,6.0,67.0,349.20392,404.60568,184.81348,9.077582316986636,13.002296245098114,10.214766870910267
36.047448,128.72148,12.8,6.2,67.0,346.0904,400.6981,187.50388,9.262027038084167,13.200348871946336,10.403488701048182
36.052049,128.721673,12.5,6.2,69.0,349.20392,404.60568,184.81348,9.190521929073453,12.902296245098114,10.26382459937104
36.05665,128.721865,12.1,6.3,71.0,349.20392,404.60568,184.81348,9.022315943238963,12.502296245098114,10.026080409286898
36.061251,128.722058,12.2,6.3,72.0,349.20392,404.60568,184.81348,9.217900468432866,12.602296245098113,10.19298957692263
36.065852,128.722251,12.3,6.4,72.0,346.88644,401.16928,190.5173,9.311661535822719,12.700584220886231,10.28827991925315
36.070453,128.722444,12.2,6.4,72.0,348.73846,402.2788,190.05191,9.217900468432866,12.601137769222259,10.192757881747458
36.075054,128.722636,12.1,6.3,72.0,348.73846,402.2788,190.05191,9.124139367548644,12.50113776922226,10.097125111128502
36.088858,128.723215,12.2,6.4,72.0,356.0192,410.4942,182.61346,9.217900468432866,12.605213117599487,10.193572951422903
36.093459,128.723408,12.4,6.5,73.0,356.0192,410.4942,182.61346,9.508286335532487,12.805213117599488,10.456843058392638
36.001286,128.725216,10.6,4.6,70.0,346.425,402.4692,187.29999,7.523251527204721,11.001232719421386,8.526522612927582
36.005887,128.725409,10.1,4.4,71.0,346.425,402.4692,187.29999,7.153062329311245,10.501232719421386,8.117390174402148
36.010487,128.725602,9.9,4.2,72.0,336.02502,390.42694,199.76344,7.061386425743631,10.295184457302094,7.9920073894809605
36.015087,128.725795,10.0,4.3,71.0,336.02502,390.42694,199.76344,7.059599264038708,10.395184457302094,8.020756376287514
36.019688,128.725987,10.5,4.6,70.0,336.02502,390.42694,199.76344,7.430091765719638,10.895184457302094,8.430101127464166
36.024288,128.72618,10.9,4.7,69.0,336.02502,390.42694,199.76344,7.704893985624562,11.295184457302094,8.742462681397612
36.028889,128.726373,11.2,4.8,68.0,349.20392,404.60568,184.81348,7.884870317160898,11.602296245098113,8.95986847103225
36.03349,128.726566,11.4,5.0,68.0,349.20392,404.60568,184.81348,8.069949824437812,11.802296245098114,9.14942412612609
36.03809,128.726759,11.7,5.4,68.0,349.20392,404.60568,184.81348,8.347568786161434,12.102296245098113,9.433757399332626
36.042691,128.726952,12.4,5.9,67.0,349.20392,404.60568,184.81348,8.893137437320775,12.802296245098114,10.025655455144165
36.047292,128.727145,12.8,6.2,67.0,349.20392,404.60568,184.81348,9.262027038084167,13.202296245098115,10.403878175678539
36.051893,128.727338,12.6,6.2,69.0,349.20392,404.60568,184.81348,9.283373355706965,13.002296245098114,10.358820598014498
36.056493,128.727531,12.3,6.2,70.0,349.20392,404.60568,184.81348,9.106961743716624,12.702296245098115,10.145332469621259
36.061094,128.727725,12.1,6.3,71.0,349.20392,404.60568,184.81348,9.022315943238963,12.502296245098114,10.026080409286898
