name,category,x,y,address,place_url
쉼터식당,음식점,128.8223695,35.96558036,경북 영천시 청통면 송천공단길 6,http://place.map.kakao.com/17101890
마당넓은집,음식점,128.8223125,35.97602313,경북 영천시 청통면 월성길 7-8,http://place.map.kakao.com/19774807
청통식당,음식점,128.8236246,35.98934568,경북 영천시 청통면 금송로 948,http://place.map.kakao.com/821597012
BHC치킨 영천청통점,음식점,128.8229862,35.98988703,경북 영천시 청통면 금송로 953-1,http://place.map.kakao.com/787447171
명가식당,음식점,128.8236021,35.98976323,경북 영천시 청통면 금송로 952-2,http://place.map.kakao.com/1416409836
대박골뼈해장국,음식점,128.8233471,35.99125842,경북 영천시 청통면 금송로 968,http://place.map.kakao.com/22304563
한양왕족발 통닭찜닭,음식점,128.8235093,35.99107844,경북 영천시 청통면 금송로 968-4,http://place.map.kakao.com/1939546557
별빛한우식육식당,음식점,128.8263422,35.99468565,경북 영천시 청통면 청통로 625,http://place.map.kakao.com/978716380
한마을 핫 돈까스,음식점,128.8386972,36.01976067,경북 영천시 화산면 장수로 1084,http://place.map.kakao.com/11216455
해성식육식당,음식점,128.8550115,36.01864071,경북 영천시 화산면 장수로 934,http://place.map.kakao.com/10923832
코바코 청통휴게소대구방향점,음식점,128.8590564,35.99388202,경북 영천시 청통면 청통로 334-42,http://place.map.kakao.com/26094970
로띠번 청통휴게소대구방향점,음식점,128.8591346,35.9939556,경북 영천시 청통면 청통로 334-42,http://place.map.kakao.com/24977473
명동칼국수 청통휴게소대구방향점,음식점,128.8592181,35.99392187,경북 영천시 청통면 청통로 334-42,http://place.map.kakao.com/526006870
화산반점,음식점,128.8565077,36.01830398,경북 영천시 화산면 장수로 919,http://place.map.kakao.com/10055426
화산식육식당,음식점,128.8555712,36.01828964,경북 영천시 화산면 장수로 927,http://place.map.kakao.com/10106265
장모님치킨,음식점,128.8562364,36.01856138,경북 영천시 화산면 장수로 922,http://place.map.kakao.com/9360800
뿅뿅치킨&호프 영천화산점,음식점,128.8559239,36.01857253,경북 영천시 화산면 장수로 924,http://place.map.kakao.com/8339886
짱손칼국수,음식점,128.8559379,36.01855609,경북 영천시 화산면 장수로 924,http://place.map.kakao.com/307729908
초원숯불갈비,음식점,128.8566403,36.01884978,경북 영천시 화산면 유성길 5,http://place.map.kakao.com/21478664
옛날돼지국밥,음식점,128.8614052,36.01818479,경북 영천시 화산면 화산공단길 2,http://place.map.kakao.com/213969118
금호랜드식당,음식점,128.8588833,35.92082329,경북 영천시 금호읍 대구대길 572,http://place.map.kakao.com/21506236
북창동순두부 사일온천점,음식점,128.8705563,35.97342155,경북 영천시 사일로 458-64,http://place.map.kakao.com/149257032
무라무라,음식점,128.8705563,35.97342155,경북 영천시 사일로 458-64,http://place.map.kakao.com/1323733858
모임의집,음식점,128.8680477,35.98804654,경북 영천시 청통면 청통로 228,http://place.map.kakao.com/16923810
금호할매추어탕,음식점,128.8668802,35.9301859,경북 영천시 금호읍 금호로 45-2,http://place.map.kakao.com/18422675
고을마당 영천금호점,음식점,128.8652972,35.92981944,경북 영천시 금호읍 금호로 31-1,http://place.map.kakao.com/1203783359
고향맛어탕국수전문점,음식점,128.8660912,35.92999272,경북 영천시 금호읍 금호로 39,http://place.map.kakao.com/625419236
어탕국수 금호점,음식점,128.8651761,35.9294762,경북 영천시 금호읍 금호로 30,http://place.map.kakao.com/13316425
복식당,음식점,128.865748,35.92990794,경북 영천시 금호읍 금호로 35-1,http://place.map.kakao.com/21490458
