lat,lon,ta_avg,td_avg,hm_avg,geometry,ASR,DSR,RSR,Tnwb,Tg,WBGT
37.624405,127.080562,13.4,6.0,64.0,POINT (127.080562 37.624405),269.0615,311.77304,243.97307,9.499571599204302,13.753141933679581,10.740328506178928
37.629025,127.08064,13.5,6.2,64.0,POINT (127.08064 37.629025),293.25577,339.91736,212.9423,9.590813775332435,13.868736952543259,10.837317033241355
37.633645,127.080718,13.5,6.4,65.0,POINT (127.080718 37.633645),293.25577,339.91736,212.9423,9.696360863384209,13.868736952543259,10.911199994877597
37.638265,127.080797,13.5,6.6,66.0,POINT (127.080797 37.638265),293.25577,339.91736,212.9423,9.801947222726852,13.868736952543259,10.985110446417448
37.642886,127.080875,13.3,6.8,68.0,POINT (127.080875 37.642886),293.25577,339.91736,212.9423,9.828197341660841,13.66873695254326,10.943485529671241
37.647506,127.080954,13.3,6.8,68.0,POINT (127.080954 37.647506),289.41345,336.42303,216.68082,9.828197341660841,13.66683675646782,10.943105490456153
37.652127,127.081032,13.2,6.9,69.0,POINT (127.081032 37.652127),289.41345,336.42303,216.68082,9.840481147439833,13.566836756467819,10.921704154501448
37.656747,127.081111,12.9,7.0,71.0,POINT (127.081111 37.656747),289.41345,336.42303,216.68082,9.770013428427573,13.26683675646782,10.782376751192864
37.661368,127.081189,12.6,6.4,68.0,POINT (127.081189 37.661368),289.41345,336.42303,216.68082,9.180423554561534,12.966836756467819,10.279663839486636
37.665988,127.081268,12.5,6.2,68.0,POINT (127.081268 37.665988),289.5904,335.10773,217.97119,9.087884290506112,12.866118967533112,10.1847427968609
37.670609,127.081346,12.6,6.6,69.0,POINT (127.081346 37.670609),289.5904,335.10773,217.97119,9.283373355706965,12.966118967533111,10.351585142501497
37.675229,127.081425,12.5,6.7,70.0,POINT (127.081425 37.675229),289.5904,335.10773,217.97119,9.293279898549464,12.866118967533112,10.328519722491247
37.67985,127.081503,12.3,5.9,67.0,POINT (127.081503 37.67985),289.5904,335.10773,217.97119,8.800914937649878,12.666118967533112,9.923864249861538
37.684471,127.081582,12.5,5.6,66.0,POINT (127.081582 37.684471),289.5904,335.10773,217.97119,8.882941319544654,12.866118967533112,10.04128271718788
