x,y,avg_height
986750.0,1911250.0,14.713333333333333
986750.0,1911750.0,14.4625
986750.0,1912250.0,11.336
986750.0,1912750.0,10.101666666666667
986750.0,1913250.0,9.38
986750.0,1913750.0,8.196666666666667
986750.0,1914250.0,
986750.0,1914750.0,6.793333333333333
986750.0,1915250.0,7.035
986750.0,1915750.0,7.416666666666667
986750.0,1916250.0,8.336666666666666
986750.0,1916750.0,10.106666666666667
986750.0,1917250.0,11.848888888888888
986750.0,1917750.0,10.852222222222222
986750.0,1918250.0,8.848888888888888
986750.0,1918750.0,6.8999999999999995
986750.0,1919250.0,6.95375
986750.0,1919750.0,6.9471428571428575
986750.0,1920250.0,6.3066666666666675
986750.0,1920750.0,6.155
986750.0,1921250.0,5.945
986750.0,1921750.0,
986750.0,1922250.0,
986750.0,1922750.0,
986750.0,1923250.0,
986750.0,1923750.0,
986750.0,1924250.0,
986750.0,1924750.0,
986750.0,1925250.0,
986750.0,1925750.0,
986750.0,1926250.0,
986750.0,1926750.0,
986750.0,1927250.0,
986750.0,1927750.0,
986750.0,1928250.0,
986750.0,1928750.0,
986750.0,1929250.0,
987250.0,1893750.0,
987250.0,1894250.0,
987250.0,1894750.0,
987250.0,1895250.0,
987250.0,1895750.0,
987250.0,1896250.0,
987250.0,1896750.0,
987250.0,1897250.0,
987250.0,1897750.0,
987250.0,1898250.0,
987250.0,1898750.0,
987250.0,1899250.0,
987250.0,1899750.0,
987250.0,1900250.0,
987250.0,1900750.0,
987250.0,1901250.0,
987250.0,1901750.0,
987250.0,1902250.0,
987250.0,1902750.0,
987250.0,1903250.0,
987250.0,1903750.0,
987250.0,1904250.0,
987250.0,1904750.0,
987250.0,1905250.0,
987250.0,1905750.0,
987250.0,1906250.0,
987250.0,1906750.0,
987250.0,1907250.0,
987250.0,1907750.0,
987250.0,1908250.0,
987250.0,1908750.0,
987250.0,1909250.0,
987250.0,1909750.0,
987250.0,1910250.0,
987250.0,1910750.0,20.675
987250.0,1911250.0,13.896
987250.0,1911750.0,13.522857142857143
987250.0,1912250.0,10.72125
987250.0,1912750.0,10.542857142857143
987250.0,1913250.0,9.51
987250.0,1913750.0,13.2825
987250.0,1914250.0,20.36
987250.0,1914750.0,15.102
987250.0,1915250.0,10.429999999999998
987250.0,1915750.0,8.408888888888889
987250.0,1916250.0,9.897777777777778
987250.0,1916750.0,12.164444444444445
987250.0,1917250.0,13.137777777777778
987250.0,1917750.0,12.02875
987250.0,1918250.0,9.151428571428571
987250.0,1918750.0,7.2749999999999995
987250.0,1919250.0,6.935714285714285
987250.0,1919750.0,6.74875
987250.0,1920250.0,6.387142857142857
987250.0,1920750.0,6.3875
987250.0,1921250.0,5.85
987250.0,1921750.0,
987250.0,1922250.0,
987250.0,1922750.0,
987250.0,1923250.0,
987250.0,1923750.0,
987250.0,1924250.0,
987250.0,1924750.0,
987250.0,1925250.0,
987250.0,1925750.0,
987250.0,1926250.0,
987250.0,1926750.0,
987250.0,1927250.0,
987250.0,1927750.0,
987250.0,1928250.0,
987250.0,1928750.0,
987250.0,1929250.0,
987750.0,1893750.0,
987750.0,1894250.0,
987750.0,1894750.0,
987750.0,1895250.0,
987750.0,1895750.0,
987750.0,1896250.0,
987750.0,1896750.0,
987750.0,1897250.0,
987750.0,1897750.0,
987750.0,1898250.0,
987750.0,1898750.0,
987750.0,1899250.0,
987750.0,1899750.0,
987750.0,1900250.0,
987750.0,1900750.0,
987750.0,1901250.0,
987750.0,1901750.0,
987750.0,1902250.0,
987750.0,1902750.0,
987750.0,1903250.0,
987750.0,1903750.0,
987750.0,1904250.0,
987750.0,1904750.0,
987750.0,1905250.0,
987750.0,1905750.0,
987750.0,1906250.0,
987750.0,1906750.0,
987750.0,1907250.0,
987750.0,1907750.0,
987750.0,1908250.0,
987750.0,1908750.0,
987750.0,1909250.0,
987750.0,1909750.0,
987750.0,1910250.0,
987750.0,1910750.0,20.675
987750.0,1911250.0,14.254
987750.0,1911750.0,13.778571428571428
987750.0,1912250.0,10.81
987750.0,1912750.0,10.472857142857142
987750.0,1913250.0,9.094285714285714
987750.0,1913750.0,11.335
987750.0,1914250.0,14.191666666666668
987750.0,1914750.0,12.84
987750.0,1915250.0,10.88
987750.0,1915750.0,9.05888888888889
987750.0,1916250.0,11.28
987750.0,1916750.0,12.216666666666667
987750.0,1917250.0,12.977777777777778
987750.0,1917750.0,12.09
987750.0,1918250.0,10.441666666666666
987750.0,1918750.0,8.3825
987750.0,1919250.0,6.2625
987750.0,1919750.0,6.12
987750.0,1920250.0,6.1225000000000005
987750.0,1920750.0,6.4
987750.0,1921250.0,7.92
987750.0,1921750.0,6.66
987750.0,1922250.0,7.196666666666666
987750.0,1922750.0,7.2
987750.0,1923250.0,6.926666666666667
987750.0,1923750.0,6.255
987750.0,1924250.0,4.58
987750.0,1924750.0,
987750.0,1925250.0,
987750.0,1925750.0,
987750.0,1926250.0,
987750.0,1926750.0,
987750.0,1927250.0,
987750.0,1927750.0,
987750.0,1928250.0,
987750.0,1928750.0,
987750.0,1929250.0,
988250.0,1893750.0,
988250.0,1894250.0,
988250.0,1894750.0,
988250.0,1895250.0,
988250.0,1895750.0,
988250.0,1896250.0,
988250.0,1896750.0,
988250.0,1897250.0,
988250.0,1897750.0,
988250.0,1898250.0,
988250.0,1898750.0,
988250.0,1899250.0,
988250.0,1899750.0,
988250.0,1900250.0,
988250.0,1900750.0,
988250.0,1901250.0,
988250.0,1901750.0,
988250.0,1902250.0,
988250.0,1902750.0,
988250.0,1903250.0,
988250.0,1903750.0,
988250.0,1904250.0,
988250.0,1904750.0,
988250.0,1905250.0,
988250.0,1905750.0,
988250.0,1906250.0,
988250.0,1906750.0,
988250.0,1907250.0,
988250.0,1907750.0,
