lat,lon,ta_avg,td_avg,hm_avg
36.045867,128.778132,13.2,6.9,72.0
36.050468,128.778329,13.3,6.9,72.0
36.055069,128.778526,13.1,6.9,72.0
36.05967,128.778722,13.0,6.8,73.0
36.064271,128.778919,12.5,6.6,73.0
36.068872,128.779116,12.1,6.3,72.0
36.073473,128.779313,12.2,6.2,70.0
36.078074,128.77951,12.7,6.2,68.0
36.082675,128.779707,12.7,6.1,67.0
36.087276,128.779903,12.1,5.6,67.0
36.091877,128.7801,11.5,5.1,68.0
35.985903,128.781238,12.3,6.3,70.0
35.990503,128.781435,12.3,6.3,70.0
35.995104,128.781631,12.3,6.3,71.0
35.999704,128.781828,12.2,6.3,71.0
36.004304,128.782025,12.2,6.4,71.0
36.008904,128.782222,12.2,6.4,72.0
36.013504,128.782419,12.3,6.4,72.0
36.018105,128.782616,12.4,6.5,72.0
36.022705,128.782812,12.6,6.7,73.0
36.027305,128.783009,12.7,6.8,73.0
36.031906,128.783206,12.9,6.9,73.0
36.036506,128.783403,13.1,6.9,72.0
36.041107,128.7836,13.3,7.0,72.0
36.045708,128.783797,13.4,7.0,72.0
36.050308,128.783995,13.4,7.0,72.0
36.054909,128.784192,13.1,6.9,72.0
36.05951,128.784389,12.8,6.8,73.0
36.064111,128.784586,12.4,6.6,72.0
36.068712,128.784783,12.0,6.3,72.0
36.073313,128.78498,12.3,6.2,70.0
36.077914,128.785178,12.7,6.2,68.0
36.082515,128.785375,12.5,5.9,67.0
36.087116,128.785572,11.4,5.0,67.0
36.091717,128.785769,10.9,4.6,68.0
35.985743,128.786898,12.4,6.6,72.0
35.990343,128.787095,12.4,6.5,72.0
35.994943,128.787292,12.4,6.5,72.0
35.999544,128.787489,12.4,6.6,72.0
36.004144,128.787686,12.5,6.7,72.0
36.008744,128.787884,12.6,6.7,73.0
36.013344,128.788081,12.6,6.7,73.0
36.017944,128.788278,12.7,6.8,73.0
36.022545,128.788476,13.0,6.9,73.0
36.027145,128.788673,13.2,7.0,72.0
36.031746,128.78887,13.4,7.0,72.0
36.036346,128.789068,13.6,7.1,72.0
36.040947,128.789265,13.6,7.0,72.0
36.045547,128.789463,13.5,7.0,72.0
36.050148,128.78966,13.2,7.0,72.0
36.054749,128.789857,12.9,6.9,73.0
36.05935,128.790055,12.7,6.7,73.0
36.06395,128.790253,12.4,6.6,72.0
36.068551,128.79045,12.0,6.3,72.0
36.073152,128.790648,12.2,6.2,71.0
36.077753,128.790845,12.5,6.2,69.0
36.082354,128.791043,12.5,6.0,67.0
36.086956,128.791241,11.3,4.7,67.0
35.980983,128.79236,13.0,7.0,73.0
35.985583,128.792558,12.9,7.0,73.0
35.990183,128.792755,13.0,7.0,73.0
35.994783,128.792953,12.9,6.9,73.0
35.999383,128.79315,12.8,6.9,73.0
36.003983,128.793348,13.0,6.9,73.0
36.008583,128.793546,12.9,6.9,73.0
36.013184,128.793743,12.8,6.9,73.0
36.017784,128.793941,13.1,7.0,73.0
36.022384,128.794139,13.4,7.1,72.0
36.026985,128.794336,13.6,7.1,72.0
36.031585,128.794534,13.6,7.1,72.0
36.036186,128.794732,13.6,7.1,72.0
36.040786,128.79493,13.4,7.0,72.0
36.045387,128.795128,13.3,7.0,72.0
36.049988,128.795325,13.1,6.9,72.0
36.054588,128.795523,12.8,6.8,73.0
36.059189,128.795721,12.6,6.7,73.0
36.06379,128.795919,12.3,6.5,72.0
36.068391,128.796117,12.0,6.3,72.0
36.072992,128.796315,12.0,6.2,71.0
36.077593,128.796513,12.4,6.2,70.0
36.082194,128.796711,12.5,5.9,67.0
36.086795,128.796909,11.2,4.7,67.0
35.980823,128.79802,13.5,7.2,72.0
35.985422,128.798217,13.4,7.1,72.0
35.990022,128.798415,13.5,7.2,72.0
35.994622,128.798613,13.4,7.1,72.0
35.999222,128.798811,13.3,7.1,72.0
36.003823,128.799009,13.4,7.1,72.0
36.008423,128.799207,13.2,7.0,72.0
36.013023,128.799405,13.1,7.0,72.0
36.017623,128.799603,13.4,7.1,72.0
36.022224,128.799802,13.6,7.1,72.0
36.026824,128.8,13.6,7.1,71.0
36.031424,128.800198,13.6,7.1,71.0
36.036025,128.800396,13.5,7.1,72.0
36.040625,128.800594,13.3,7.0,72.0
36.045226,128.800793,13.2,7.0,72.0
36.049827,128.800991,13.0,6.9,73.0
36.054427,128.801189,12.7,6.8,73.0
36.059028,128.801387,12.5,6.7,73.0
36.063629,128.801586,12.2,6.4,72.0
36.06823,128.801784,12.0,6.3,72.0
36.072831,128.801983,12.0,6.2,71.0
36.077432,128.802181,12.5,6.2,69.0
36.082033,128.80238,12.3,5.8,67.0
36.086634,128.802578,11.2,4.6,67.0
35.976062,128.803481,13.7,7.3,71.0
35.980662,128.803679,13.7,7.2,71.0
35.985261,128.803877,13.6,7.2,71.0
35.989861,128.804076,13.6,7.2,71.0
35.994461,128.804274,13.6,7.2,72.0
35.999061,128.804472,13.6,7.2,72.0
36.003662,128.804671,13.6,7.2,72.0
36.008262,128.804869,13.5,7.1,72.0
36.012862,128.805068,13.5,7.1,72.0
36.017462,128.805266,13.5,7.1,72.0
36.022062,128.805465,13.5,7.1,72.0
36.026663,128.805663,13.6,7.1,71.0
36.031263,128.805862,13.6,7.1,71.0
36.035864,128.80606,13.5,7.1,72.0
36.040464,128.806259,13.3,7.0,72.0
36.045065,128.806458,13.1,7.0,72.0
36.049666,128.806656,13.0,6.9,73.0
36.054266,128.806855,12.7,6.8,73.0
36.058867,128.807054,12.5,6.6,73.0
36.063468,128.807252,12.2,6.3,72.0
36.068069,128.807451,12.0,6.2,72.0
36.07267,128.80765,12.1,6.2,71.0
36.07727,128.807849,12.6,6.2,68.0
36.081872,128.808048,12.4,5.8,68.0
36.086473,128.808247,11.4,4.8,67.0
35.971301,128.808941,13.8,7.2,69.0
35.9759,128.80914,13.7,7.2,70.0
35.9805,128.809338,13.7,7.2,70.0
35.9851,128.809537,13.7,7.2,70.0
35.9897,128.809736,13.7,7.3,71.0
35.9943,128.809934,13.7,7.2,71.0
35.9989,128.810133,13.7,7.2,71.0
36.0035,128.810332,13.7,7.2,71.0
36.0081,128.810531,13.6,7.2,71.0
36.0127,128.81073,13.6,7.2,72.0
36.017301,128.810929,13.4,7.1,72.0
36.021901,128.811128,13.4,7.1,72.0
36.026501,128.811326,13.6,7.2,71.0
36.031102,128.811525,13.6,7.1,71.0
36.035702,128.811724,13.5,7.1,72.0
